4,2841,4,2870
4,3116,4,3211
4,3236,4,3274
4,3287,4,3323
4,3366,4,3443
4,3587,4,3689
4,3707,4,3994
4,4021,4,4125
4,4146,4,4195
4,4211,4,4241
4,4296,4,4395
4,4434,4,4604
4,4699,4,4955
4,4994,4,5091
4,5268,4,5394
4,5484,4,5549
4,5839,4,5921
4,6185,4,6263
1616,4,1649,4
1714,4,1823,4
1834,4,1934,4
1945,4,1986,4
2009,4,2057,4
2068,4,2494,4
2632,4,2831,4
2847,4,2887,4
3442,4,3467,4
3480,4,3780,4
3797,4,3863,4
3877,4,3957,4
3976,4,4014,4
4025,4,4080,4
4107,4,4216,4
4293,4,4318,4
4413,4,4472,4
4489,4,4523,4
4534,4,4581,4
6293,1918,6293,1993
6293,2075,6293,2558
6293,2580,6293,2676
6293,3176,6293,3247
1361,3113,1399,3138
2067,3589,2124,3627
2160,3651,2281,3733
2295,3742,2390,3807
2399,3813,2448,3846
2463,3856,2695,4012
3072,4266,3149,4319
